scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,gemma-3-12b-it,1,easy,restaurant,13,17,True,7.0,,0,[],15.728
flight_easy_01,gemma-3-12b-it,1,easy,flight,13,16,True,,,0,[],10.982
medium_03,gemma-3-12b-it,1,medium,restaurant,13,18,True,7.0,10.0,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",17.936
flight_medium_02,gemma-3-12b-it,1,medium,flight,13,16,True,,,0,[],10.011
hard_01,gemma-3-12b-it,1,hard,restaurant,13,19,True,,,0,[],15.34
flight_hard_03,gemma-3-12b-it,1,hard,flight,13,17,True,11.0,,0,[],22.378
conflict_03,gemma-3-12b-it,1,conflicting,restaurant,13,17,True,7.0,,0,[],13.1
flight_conflict_02,gemma-3-12b-it,1,conflicting,flight,13,16,True,,11.0,2,"[""PARAM_DRIFT"", ""PARAM_DRIFT""]",14.005
adversarial_01,gemma-3-12b-it,1,adversarial,restaurant,13,22,True,7.0,,0,[],12.158
flight_adversarial_01,gemma-3-12b-it,1,adversarial,flight,13,19,True,,18.0,2,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",23.083
