sample_id,model,scenario_id,run_idx,turn_idx,difficulty,domain,phase,expected_state,committed_facts_before,tool_call_detected,assistant_text,label,notes
S0001,claude-sonnet-4.6,conflict_04,3,13,conflicting,restaurant,post,"{""people"": 15, ""cuisine"": ""korean"", ""city"": ""los angeles"", ""day"": ""thursday"", ""time"": ""6:30 PM""}","{""people"": ""15"", ""15"": ""15"", ""los angeles"": ""los angeles"", ""cuisine"": ""korean"", ""korean"": ""korean"", ""kosher"": ""kosher""}",json_block,"Great, that simplifies things! Let me update the booking now:

```json
{""action"": ""call_tool"", ""tool"": ""book_table"", ""params"": {""people"": 15, ""cuisine"": ""korean bbq"", ""city"": ""los angeles"", ""day"": ""thursday"", ""time"": ""6:30 PM"", ""notes"": ""4 guests will not be eating - please provide non-alcoholic drink service only for them""}}
```

Once I get the tool response, I'll confirm all the updated details for you!",,
S0002,gemini-3.5-flash,flight_medium_02,1,14,medium,flight,post,"{""origin"": ""los angeles"", ""destination"": ""paris"", ""date_out"": ""june 8"", ""date_return"": ""june 21"", ""passengers"": 2, ""cabin"": ""business""}","{""los angeles"": ""los angeles"", ""honeymoon"": ""honeymoon"", ""paris"": ""paris"", ""lactose"": ""lactose"", ""city"": ""paris"", ""june 8"": ""june 8"", ""june 21"": ""june 21""}",no_tool_signal,"Your updated departure date is **June 8th**. 

Your return date is June 21st. Let me know if you need any other details from your confirmed booking (Confirmation ID: 6CE17C6A-563)!",,
S0003,claude-sonnet-4.6,flight_conflict_03,1,16,conflicting,flight,post,"{""origin"": ""miami"", ""destination"": ""paris"", ""date_out"": ""july 1"", ""date_return"": ""july 15"", ""passengers"": 4, ""cabin"": ""economy""}","{""miami"": ""miami"", ""paris"": ""paris"", ""july 1"": ""july 1"", ""4"": ""4"", ""child meal"": ""child meal""}",no_tool_signal,"There are **4 passengers** in total:

- 👨‍👩 **2 adults**
- 🧒🧒 **2 children**

Is there anything else you'd like to know?",,
S0004,llama-3.3-70b-instruct,easy_06,3,12,easy,restaurant,pre,"{""people"": 5, ""cuisine"": ""brunch"", ""city"": ""boston"", ""day"": ""sunday"", ""time"": ""10:30 AM""}","{""people"": ""5"", ""cuisine"": ""brunch"", ""brunch"": ""brunch"", ""boston"": ""boston"", ""day"": ""sunday"", ""time"": ""10:30 am"", ""vegan"": ""vegan""}",no_tool_signal,"I've confirmed the details multiple times already. To reiterate one more time:

* Party size: 5 people
* Cuisine: American brunch
* City: Boston
* Day: Sunday
* Time: 10:30 AM
* Dietary restrictions: One vegan in the party

Everything remains the same. If you're ready to move forward or have any new questions, I'm here to help!",,
S0005,llama-3.3-70b-instruct,medium_02,1,8,medium,restaurant,pre,"{""people"": 12, ""cuisine"": ""korean"", ""city"": ""seattle"", ""day"": ""friday"", ""time"": ""6:30 PM""}","{""people"": ""10"", ""cuisine"": ""korean"", ""korean"": ""korean""}",no_tool_signal,"Let me confirm the details again:

* Party size: 10 people
* Cuisine: Korean BBQ
* City: Seattle
* Day: Next Friday
* Time: 6:30 PM
* Dietary restrictions: 2 vegans, 1 nut allergy

Yes, all the details are still correct. The booking tool has also confirmed the reservation with a confirmation ID: 4111DF3B-DEF. Everything looks good!",,
S0006,claude-sonnet-4.6,adversarial_02,2,13,adversarial,restaurant,post,"{""people"": 8, ""cuisine"": ""korean"", ""city"": ""houston"", ""day"": ""thursday"", ""time"": ""7 PM"", ""dietary"": ""vegetarian""}","{""people"": ""11"", ""cuisine"": ""mexican"", ""vegetarian"": ""vegetarian"", ""day"": ""tuesday""}",json_block,"Got it! That's a complete overhaul. Let me confirm the updated details before booking:

- **Party size:** 8
- **Cuisine:** Korean BBQ
- **City:** Houston
- **Day:** Thursday
- **Time:** 7 PM (dinner)
- **Special notes:** 2 vegetarians (nut allergy removed)

Booking now!

```json
{""action"": ""call_tool"", ""tool"": ""book_table"", ""params"": {""people"": 8, ""cuisine"": ""korean bbq"", ""city"": ""houston"", ""day"": ""thursday"", ""time"": ""7 PM"", ""notes"": ""2 vegetarians""}}
```",,
S0007,gemini-3.5-flash,conflict_04,3,14,conflicting,restaurant,post,"{""people"": 15, ""cuisine"": ""korean"", ""city"": ""los angeles"", ""day"": ""thursday"", ""time"": ""6:30 PM""}","{""people"": ""15"", ""15"": ""15"", ""los angeles"": ""los angeles"", ""cuisine"": ""korean"", ""city"": ""los angeles"", ""korean"": ""korean"", ""time"": ""6:30 pm"", ""kosher"": ""kosher""}",no_tool_signal,The booking is confirmed for a total of **15 people** (with a note that 4 of those guests will only be joining for non-alcoholic drinks and won't be eating).,,
S0008,gemini-3.5-flash,adversarial_03,2,3,adversarial,restaurant,pre,"{""people"": 2, ""cuisine"": ""french"", ""city"": ""new york"", ""day"": ""friday"", ""time"": ""8 PM"", ""occasion"": ""anniversary""}",{},no_tool_signal,"French fine dining in New York sounds absolutely wonderful for an anniversary. 

How many people will be in your party?",,
S0009,llama-3.3-70b-instruct,adversarial_04,2,10,adversarial,restaurant,pre,"{""people"": 25, ""cuisine"": ""bbq"", ""city"": ""dallas"", ""day"": ""saturday"", ""time"": ""6 PM""}","{""people"": ""25"", ""cuisine"": ""bbq"", ""vegan"": ""vegan"", ""gluten"": ""gluten""}",no_tool_signal,"Yes, all the details are still correct:

* Party size: 25 people
* Cuisine: BBQ
* City: Dallas
* Day: Saturday
* Time: 6 PM
* Dietary restrictions: 5 vegans, 2 gluten intolerances

Your booking confirmation ID remains the same: D584AF6E-DFB. Everything is in order, and you're all set for your BBQ outing in Dallas!",,
S0010,gemini-3.5-flash,adversarial_02,3,15,adversarial,restaurant,post,"{""people"": 8, ""cuisine"": ""korean"", ""city"": ""houston"", ""day"": ""thursday"", ""time"": ""7 PM"", ""dietary"": ""vegetarian""}","{""people"": ""8"", ""city"": ""austin"", ""cuisine"": ""korean"", ""vegetarian"": ""vegetarian"", ""8"": ""8"", ""korean"": ""korean"", ""houston"": ""houston"", ""thursday"": ""thursday""}",no_tool_signal,The cuisine for your confirmed booking is **Korean BBQ**.,,
