scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,5.0,,0,[],66.48
easy_02,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,,0,[],77.979
easy_03,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,,0,[],113.15
easy_04,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,,0,[],72.587
easy_05,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,,0,[],63.587
easy_06,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,,0,[],104.446
flight_easy_01,llama-3.3-70b-instruct,1,easy,flight,13,16,True,10.0,,0,[],110.749
flight_easy_02,llama-3.3-70b-instruct,1,easy,flight,13,17,True,11.0,,0,[],100.578
flight_easy_03,llama-3.3-70b-instruct,1,easy,flight,13,17,True,10.0,,0,[],124.543
flight_easy_04,llama-3.3-70b-instruct,1,easy,flight,13,16,True,10.0,,0,[],72.203
medium_01,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,,0,[],87.79
medium_02,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,6.0,,0,[],92.514
medium_03,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,6.0,,0,[],59.852
medium_04,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,,0,[],60.016
medium_05,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,8.0,,0,[],53.089
medium_06,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,,0,[],78.43
flight_medium_01,llama-3.3-70b-instruct,1,medium,flight,13,16,True,11.0,,0,[],69.065
flight_medium_02,llama-3.3-70b-instruct,1,medium,flight,13,16,True,,,0,[],84.309
flight_medium_03,llama-3.3-70b-instruct,1,medium,flight,13,16,True,10.0,,0,[],160.278
flight_medium_04,llama-3.3-70b-instruct,1,medium,flight,13,22,True,12.0,,0,[],392.908
hard_01,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,7.0,,0,[],117.304
hard_02,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,7.0,,0,[],110.768
hard_03,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,7.0,,0,[],350.797
hard_04,llama-3.3-70b-instruct,1,hard,restaurant,13,16,True,7.0,,0,[],536.432
hard_05,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,7.0,7.0,3,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""PREMATURE_COMMIT""]",436.942
hard_06,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,7.0,,0,[],5945.085
flight_hard_01,llama-3.3-70b-instruct,1,hard,flight,13,16,True,12.0,,0,[],184.309
flight_hard_02,llama-3.3-70b-instruct,1,hard,flight,13,16,True,10.0,,0,[],5927.331
flight_hard_03,llama-3.3-70b-instruct,1,hard,flight,13,16,True,10.0,,0,[],5871.674
flight_hard_04,llama-3.3-70b-instruct,1,hard,flight,13,16,True,11.0,16.0,1,"[""MEMORY_COLLAPSE""]",5853.084
conflict_01,llama-3.3-70b-instruct,1,conflicting,restaurant,13,16,True,7.0,,0,[],67.87
conflict_02,llama-3.3-70b-instruct,1,conflicting,restaurant,13,16,True,7.0,,0,[],121.897
conflict_03,llama-3.3-70b-instruct,1,conflicting,restaurant,13,17,True,8.0,,0,[],75.833
conflict_04,llama-3.3-70b-instruct,1,conflicting,restaurant,13,16,True,6.0,,0,[],59.451
flight_conflict_01,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,11.0,,0,[],76.555
flight_conflict_02,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,12.0,,0,[],67.453
flight_conflict_03,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,10.0,,0,[],112.101
flight_conflict_04,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,,,0,[],67.219
adversarial_01,llama-3.3-70b-instruct,1,adversarial,restaurant,13,19,True,7.0,,0,[],116.686
adversarial_02,llama-3.3-70b-instruct,1,adversarial,restaurant,13,19,True,7.0,,0,[],71.167
adversarial_03,llama-3.3-70b-instruct,1,adversarial,restaurant,13,17,True,7.0,,0,[],99.376
adversarial_04,llama-3.3-70b-instruct,1,adversarial,restaurant,13,20,True,7.0,,0,[],75.314
flight_adversarial_01,llama-3.3-70b-instruct,1,adversarial,flight,13,20,True,9.0,,0,[],128.614
flight_adversarial_02,llama-3.3-70b-instruct,1,adversarial,flight,13,20,True,,,0,[],104.64
flight_adversarial_03,llama-3.3-70b-instruct,1,adversarial,flight,13,19,True,,,0,[],74.996
flight_adversarial_04,llama-3.3-70b-instruct,1,adversarial,flight,13,20,True,10.0,,0,[],117.171
