scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.3-70b-instruct,1,easy,restaurant,12,15,True,5.0,11.0,3,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",66.735
easy_02,llama-3.3-70b-instruct,1,easy,restaurant,12,15,True,6.0,6.0,4,"[""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",43.862
easy_03,llama-3.3-70b-instruct,1,easy,restaurant,12,15,True,7.0,7.0,5,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",46.38
easy_04,llama-3.3-70b-instruct,1,easy,restaurant,11,14,True,5.0,12.0,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",58.578
easy_05,llama-3.3-70b-instruct,1,easy,restaurant,15,18,True,7.0,17.0,2,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",85.481
easy_06,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,14.0,2,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",73.661
flight_easy_01,llama-3.3-70b-instruct,1,easy,flight,14,17,True,10.0,10.0,5,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",59.815
flight_easy_02,llama-3.3-70b-instruct,1,easy,flight,14,18,True,11.0,16.0,3,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",67.591
flight_easy_03,llama-3.3-70b-instruct,1,easy,flight,12,16,True,11.0,14.0,3,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",52.776
flight_easy_04,llama-3.3-70b-instruct,1,easy,flight,15,18,True,10.0,16.0,3,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",92.418
