sample_id,model,scenario_id,run_idx,turn_idx,phase,difficulty,auto_label
S0001,claude-sonnet-4.6,conflict_04,3,13,post,conflicting,NONE
S0002,gemini-3.5-flash,flight_medium_02,1,14,post,medium,CONSTRAINT_IGNORE
S0003,claude-sonnet-4.6,flight_conflict_03,1,16,post,conflicting,CONSTRAINT_IGNORE
S0004,llama-3.3-70b-instruct,easy_06,3,12,pre,easy,NONE
S0005,llama-3.3-70b-instruct,medium_02,1,8,pre,medium,NONE
S0006,claude-sonnet-4.6,adversarial_02,2,13,post,adversarial,NONE
S0007,gemini-3.5-flash,conflict_04,3,14,post,conflicting,CONSTRAINT_IGNORE
S0008,gemini-3.5-flash,adversarial_03,2,3,pre,adversarial,NONE
S0009,llama-3.3-70b-instruct,adversarial_04,2,10,pre,adversarial,NONE
S0010,gemini-3.5-flash,adversarial_02,3,15,post,adversarial,MEMORY_COLLAPSE
S0011,llama-3.3-70b-instruct,flight_easy_02,2,17,post,easy,CONSTRAINT_IGNORE
S0012,claude-sonnet-4.5,hard_03,2,13,post,hard,NONE
S0013,claude-sonnet-4.5,flight_adversarial_03,3,13,post,adversarial,NONE
S0014,gemini-3.5-flash,easy_06,2,8,pre,easy,NONE
S0015,llama-3.3-70b-instruct,hard_04,1,6,pre,hard,NONE
S0016,claude-sonnet-4.6,adversarial_01,3,11,pre,adversarial,NONE
S0017,claude-sonnet-4.5,flight_adversarial_02,2,17,post,adversarial,CONSTRAINT_IGNORE
S0018,claude-sonnet-4.5,flight_hard_04,3,16,post,hard,MEMORY_COLLAPSE
S0019,claude-sonnet-4.6,adversarial_01,3,14,post,adversarial,NONE
S0020,claude-sonnet-4.5,flight_adversarial_04,1,19,post,adversarial,MEMORY_COLLAPSE
S0021,gemini-3.5-flash,flight_medium_01,3,13,post,medium,NONE
S0022,gemini-3.5-flash,flight_easy_04,3,9,pre,easy,NONE
S0023,claude-sonnet-4.5,medium_03,3,13,post,medium,NONE
S0024,claude-sonnet-4.6,hard_01,3,16,post,hard,MEMORY_COLLAPSE
S0025,gemini-3.5-flash,conflict_03,3,16,post,conflicting,CONSTRAINT_IGNORE
S0026,llama-3.3-70b-instruct,easy_03,2,15,post,easy,MEMORY_COLLAPSE
S0027,llama-3.3-70b-instruct,medium_01,3,10,pre,medium,NONE
S0028,claude-sonnet-4.6,flight_adversarial_03,1,9,pre,adversarial,PARAM_DRIFT
S0029,claude-sonnet-4.6,easy_06,3,16,post,easy,CONSTRAINT_IGNORE
S0030,claude-sonnet-4.5,flight_conflict_01,3,13,post,conflicting,CONSTRAINT_IGNORE
S0031,llama-3.3-70b-instruct,conflict_04,1,15,post,conflicting,MEMORY_COLLAPSE
S0032,gemini-3.5-flash,easy_04,1,14,post,easy,MEMORY_COLLAPSE
S0033,gemini-3.5-flash,conflict_04,3,16,post,conflicting,MEMORY_COLLAPSE
S0034,claude-sonnet-4.5,adversarial_01,1,10,pre,adversarial,NONE
S0035,claude-sonnet-4.6,conflict_02,3,2,pre,conflicting,NONE
S0036,llama-3.3-70b-instruct,easy_06,1,14,post,easy,MEMORY_COLLAPSE
S0037,claude-sonnet-4.5,hard_04,3,1,pre,hard,NONE
S0038,gemini-3.5-flash,adversarial_03,2,17,post,adversarial,CONSTRAINT_IGNORE
S0039,claude-sonnet-4.5,easy_04,2,17,post,easy,NONE
S0040,gemini-3.5-flash,flight_hard_04,2,9,pre,hard,NONE
S0041,gemini-3.5-flash,easy_06,1,9,pre,easy,NONE
S0042,claude-sonnet-4.5,adversarial_02,1,8,pre,adversarial,NONE
S0043,claude-sonnet-4.5,easy_01,1,16,post,easy,CONSTRAINT_IGNORE
S0044,claude-sonnet-4.5,flight_conflict_01,3,16,post,conflicting,MEMORY_COLLAPSE
S0045,claude-sonnet-4.6,hard_05,1,6,pre,hard,NONE
S0046,gemini-3.5-flash,conflict_04,3,11,pre,conflicting,NONE
S0047,llama-3.3-70b-instruct,hard_03,2,14,post,hard,MEMORY_COLLAPSE
S0048,gemini-3.5-flash,flight_hard_01,1,8,pre,hard,NONE
S0049,claude-sonnet-4.5,flight_medium_04,3,18,post,medium,CONSTRAINT_IGNORE
S0050,claude-sonnet-4.6,flight_medium_01,1,13,post,medium,NONE
S0051,llama-3.3-70b-instruct,hard_01,1,13,post,hard,NONE
S0052,claude-sonnet-4.6,medium_02,2,4,pre,medium,NONE
S0053,claude-sonnet-4.6,easy_01,2,11,pre,easy,NONE
S0054,claude-sonnet-4.6,flight_conflict_02,2,12,pre,conflicting,NONE
S0055,claude-sonnet-4.5,flight_hard_03,1,9,pre,hard,NONE
S0056,gemini-3.5-flash,flight_medium_03,2,3,pre,medium,NONE
S0057,claude-sonnet-4.6,easy_04,1,3,pre,easy,NONE
S0058,claude-sonnet-4.6,easy_06,2,16,post,easy,CONSTRAINT_IGNORE
S0059,llama-3.3-70b-instruct,easy_01,2,9,pre,easy,NONE
S0060,claude-sonnet-4.5,flight_conflict_02,1,10,pre,conflicting,PARAM_DRIFT
S0061,llama-3.3-70b-instruct,conflict_03,1,12,pre,conflicting,PREMATURE_COMMIT
S0062,claude-sonnet-4.6,flight_adversarial_04,3,19,post,adversarial,CONSTRAINT_IGNORE
S0063,gemini-3.5-flash,flight_hard_04,3,14,post,hard,CONSTRAINT_IGNORE
S0064,claude-sonnet-4.6,medium_02,2,17,post,medium,MEMORY_COLLAPSE
S0065,llama-3.3-70b-instruct,flight_conflict_04,1,10,pre,conflicting,NONE
S0066,gemini-3.5-flash,flight_hard_01,2,11,pre,hard,NONE
S0067,claude-sonnet-4.6,medium_04,3,15,post,medium,CONSTRAINT_IGNORE
S0068,llama-3.3-70b-instruct,medium_06,1,15,post,medium,CONSTRAINT_IGNORE
S0069,claude-sonnet-4.6,flight_easy_01,3,22,post,easy,CONSTRAINT_IGNORE
S0070,claude-sonnet-4.6,flight_medium_04,3,1,pre,medium,NONE
S0071,claude-sonnet-4.6,adversarial_02,1,12,pre,adversarial,PARAM_DRIFT
S0072,llama-3.3-70b-instruct,flight_medium_03,1,18,post,medium,CONSTRAINT_IGNORE
S0073,claude-sonnet-4.5,flight_medium_04,1,2,pre,medium,NONE
S0074,llama-3.3-70b-instruct,conflict_01,3,7,pre,conflicting,NONE
S0075,gemini-3.5-flash,flight_adversarial_01,3,9,pre,adversarial,NONE
S0076,claude-sonnet-4.6,conflict_01,3,13,post,conflicting,NONE
S0077,claude-sonnet-4.5,conflict_04,3,16,post,conflicting,MEMORY_COLLAPSE
S0078,claude-sonnet-4.5,flight_easy_01,1,7,pre,easy,NONE
S0079,gemini-3.5-flash,adversarial_02,1,14,post,adversarial,NONE
S0080,claude-sonnet-4.5,easy_06,2,6,pre,easy,NONE
S0081,claude-sonnet-4.5,flight_medium_02,2,5,pre,medium,NONE
S0082,claude-sonnet-4.5,flight_hard_03,1,8,pre,hard,NONE
S0083,claude-sonnet-4.5,flight_conflict_04,2,5,pre,conflicting,NONE
S0084,claude-sonnet-4.5,medium_01,2,16,post,medium,CONSTRAINT_IGNORE
S0085,claude-sonnet-4.5,easy_06,1,16,post,easy,MEMORY_COLLAPSE
S0086,llama-3.3-70b-instruct,flight_adversarial_02,1,14,post,adversarial,CONSTRAINT_IGNORE
S0087,llama-3.3-70b-instruct,flight_adversarial_02,1,9,pre,adversarial,NONE
S0088,gemini-3.5-flash,flight_hard_03,2,13,post,hard,NONE
S0089,llama-3.3-70b-instruct,flight_adversarial_02,2,17,post,adversarial,CONSTRAINT_IGNORE
S0090,llama-3.3-70b-instruct,medium_06,2,13,post,medium,NONE
S0091,claude-sonnet-4.6,hard_04,3,8,pre,hard,NONE
S0092,llama-3.3-70b-instruct,flight_adversarial_03,3,14,post,adversarial,CONSTRAINT_IGNORE
S0093,gemini-3.5-flash,flight_medium_01,3,14,post,medium,NONE
S0094,claude-sonnet-4.6,flight_hard_03,1,13,post,hard,NONE
S0095,llama-3.3-70b-instruct,hard_03,3,16,post,hard,CONSTRAINT_IGNORE
S0096,llama-3.3-70b-instruct,easy_06,2,6,pre,easy,NONE
S0097,claude-sonnet-4.6,hard_06,2,3,pre,hard,NONE
S0098,claude-sonnet-4.6,flight_easy_02,1,12,pre,easy,PARAM_DRIFT
S0099,llama-3.3-70b-instruct,flight_conflict_04,2,14,post,conflicting,CONSTRAINT_IGNORE
S0100,llama-3.3-70b-instruct,flight_medium_01,3,1,pre,medium,NONE
