scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,gemini-3.5-flash,1,easy,restaurant,12,15,True,8.0,13,2,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",23.352
easy_02,gemini-3.5-flash,1,easy,restaurant,12,15,True,7.0,7,4,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",24.721
easy_03,gemini-3.5-flash,1,easy,restaurant,12,15,True,7.0,7,4,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",21.546
easy_04,gemini-3.5-flash,1,easy,restaurant,11,22,False,,12,9,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",33.457
easy_05,gemini-3.5-flash,1,easy,restaurant,15,18,True,7.0,16,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",28.249
easy_06,gemini-3.5-flash,1,easy,restaurant,13,16,True,6.0,14,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",30.463
flight_easy_01,gemini-3.5-flash,1,easy,flight,14,17,True,11.0,9,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",24.846
flight_easy_02,gemini-3.5-flash,1,easy,flight,14,18,True,11.0,10,4,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",26.871
flight_easy_03,gemini-3.5-flash,1,easy,flight,12,16,True,11.0,13,4,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",21.745
flight_easy_04,gemini-3.5-flash,1,easy,flight,15,18,True,11.0,9,5,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",26.716
medium_01,gemini-3.5-flash,1,medium,restaurant,15,19,True,7.0,7,5,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",35.447
medium_02,gemini-3.5-flash,1,medium,restaurant,15,19,True,6.0,11,7,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",37.366
