scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
medium_01,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,,0,[],135.113
medium_01,llama-3.3-70b-instruct,2,medium,restaurant,13,17,True,7.0,,0,[],129.388
medium_01,llama-3.3-70b-instruct,3,medium,restaurant,13,17,True,7.0,,0,[],64.676
medium_02,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,,0,[],90.709
medium_02,llama-3.3-70b-instruct,2,medium,restaurant,13,17,True,6.0,,0,[],94.553
medium_02,llama-3.3-70b-instruct,3,medium,restaurant,13,17,True,6.0,,0,[],118.496
medium_03,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,7.0,,0,[],90.778
medium_03,llama-3.3-70b-instruct,2,medium,restaurant,13,16,True,6.0,,0,[],93.448
medium_03,llama-3.3-70b-instruct,3,medium,restaurant,13,16,True,7.0,,0,[],86.015
medium_04,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,,0,[],77.66
medium_04,llama-3.3-70b-instruct,2,medium,restaurant,13,17,True,7.0,,0,[],75.687
medium_04,llama-3.3-70b-instruct,3,medium,restaurant,13,17,True,7.0,,0,[],66.836
medium_05,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,7.0,,0,[],38.714
medium_05,llama-3.3-70b-instruct,2,medium,restaurant,13,16,True,7.0,,0,[],54.644
medium_05,llama-3.3-70b-instruct,3,medium,restaurant,13,16,True,8.0,,0,[],80.069
medium_06,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,,0,[],78.864
medium_06,llama-3.3-70b-instruct,2,medium,restaurant,13,17,True,7.0,,0,[],80.377
medium_06,llama-3.3-70b-instruct,3,medium,restaurant,13,17,True,6.0,,0,[],97.075
flight_medium_01,llama-3.3-70b-instruct,1,medium,flight,13,16,True,11.0,,0,[],55.844
flight_medium_01,llama-3.3-70b-instruct,2,medium,flight,13,16,True,12.0,,0,[],86.569
flight_medium_01,llama-3.3-70b-instruct,3,medium,flight,13,17,True,,,0,[],92.678
flight_medium_02,llama-3.3-70b-instruct,1,medium,flight,13,16,True,11.0,,0,[],90.33
flight_medium_02,llama-3.3-70b-instruct,2,medium,flight,13,16,True,10.0,,0,[],79.075
flight_medium_02,llama-3.3-70b-instruct,3,medium,flight,13,16,True,11.0,,0,[],82.435
flight_medium_03,llama-3.3-70b-instruct,1,medium,flight,13,16,True,11.0,,0,[],92.891
flight_medium_03,llama-3.3-70b-instruct,2,medium,flight,13,16,True,12.0,,0,[],116.707
flight_medium_03,llama-3.3-70b-instruct,3,medium,flight,13,16,True,11.0,,0,[],7353.599
flight_medium_04,llama-3.3-70b-instruct,1,medium,flight,13,16,True,,,0,[],7271.957
flight_medium_04,llama-3.3-70b-instruct,2,medium,flight,13,16,True,10.0,,0,[],7236.402
flight_medium_04,llama-3.3-70b-instruct,3,medium,flight,13,16,True,10.0,,0,[],150.01
