scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,5.0,11,3,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",66.48
easy_02,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,7,4,"[""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",77.979
easy_03,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,7,4,"[""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",113.15
easy_04,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,15,2,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",72.587
easy_05,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,15,2,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",63.587
easy_06,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,14,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",104.446
flight_easy_01,llama-3.3-70b-instruct,1,easy,flight,13,16,True,10.0,14,2,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",110.749
flight_easy_02,llama-3.3-70b-instruct,1,easy,flight,13,17,True,11.0,14,4,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",100.578
flight_easy_03,llama-3.3-70b-instruct,1,easy,flight,13,17,True,10.0,14,4,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",124.543
flight_easy_04,llama-3.3-70b-instruct,1,easy,flight,13,16,True,10.0,14,3,"[""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",72.203
medium_01,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,7,6,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",87.79
medium_02,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,6.0,14,4,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",92.514
medium_03,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,6.0,6,6,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",59.852
medium_04,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,12,5,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",60.016
medium_05,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,8.0,8,5,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",53.089
medium_06,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,15,3,"[""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",78.43
flight_medium_01,llama-3.3-70b-instruct,1,medium,flight,13,16,True,11.0,14,3,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",69.065
flight_medium_02,llama-3.3-70b-instruct,1,medium,flight,13,16,True,,14,3,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",84.309
flight_medium_03,llama-3.3-70b-instruct,1,medium,flight,13,16,True,10.0,14,3,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",160.278
