scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.3-70b-instruct,1,easy,restaurant,13,22,False,,,0,[],94.803
flight_easy_01,llama-3.3-70b-instruct,1,easy,flight,13,22,False,,,0,[],59.327
medium_03,llama-3.3-70b-instruct,1,medium,restaurant,13,22,False,,,0,[],91.623
flight_medium_02,llama-3.3-70b-instruct,1,medium,flight,13,22,False,,,0,[],58.87
hard_01,llama-3.3-70b-instruct,1,hard,restaurant,13,18,True,,17.0,1,"[""MEMORY_COLLAPSE""]",66.89
flight_hard_03,llama-3.3-70b-instruct,1,hard,flight,13,22,False,,,0,[],89.084
conflict_03,llama-3.3-70b-instruct,1,conflicting,restaurant,13,17,True,,16.0,1,"[""MEMORY_COLLAPSE""]",56.127
flight_conflict_02,llama-3.3-70b-instruct,1,conflicting,flight,13,22,False,,,0,[],78.601
adversarial_01,llama-3.3-70b-instruct,1,adversarial,restaurant,13,19,True,,16.0,1,"[""MEMORY_COLLAPSE""]",47.347
flight_adversarial_01,llama-3.3-70b-instruct,1,adversarial,flight,13,22,False,,,0,[],55.386
