scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,claude-sonnet-4.5,1,easy,restaurant,12,15,True,5.0,14,2,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",39.198
easy_02,claude-sonnet-4.5,1,easy,restaurant,12,15,True,7.0,7,3,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",37.16
easy_03,claude-sonnet-4.5,1,easy,restaurant,12,15,True,6.0,6,5,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",29.588
easy_04,claude-sonnet-4.5,1,easy,restaurant,11,14,True,5.0,10,4,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",32.562
easy_05,claude-sonnet-4.5,1,easy,restaurant,15,18,True,7.0,14,4,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",50.15
easy_06,claude-sonnet-4.5,1,easy,restaurant,13,16,True,7.0,12,3,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",39.639
flight_easy_01,claude-sonnet-4.5,1,easy,flight,14,17,True,10.0,15,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",48.242
flight_easy_02,claude-sonnet-4.5,1,easy,flight,14,18,True,,11,6,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",47.577
flight_easy_03,claude-sonnet-4.5,1,easy,flight,12,18,True,11.0,13,4,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",35.258
flight_easy_04,claude-sonnet-4.5,1,easy,flight,15,18,True,10.0,9,4,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",48.926
medium_01,claude-sonnet-4.5,1,medium,restaurant,15,20,True,8.0,8,5,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",50.639
medium_02,claude-sonnet-4.5,1,medium,restaurant,15,19,True,7.0,12,6,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",51.447
medium_03,claude-sonnet-4.5,1,medium,restaurant,11,14,True,6.0,12,3,"[""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",35.349
medium_04,claude-sonnet-4.5,1,medium,restaurant,15,19,True,7.0,12,5,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",54.335
medium_05,claude-sonnet-4.5,1,medium,restaurant,15,18,True,6.0,6,6,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",39.258
