scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,5.0,,0,[],68.512
easy_02,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,,0,[],55.136
easy_03,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,,0,[],57.372
easy_04,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,5.0,,0,[],73.166
easy_05,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,,0,[],63.681
easy_06,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,,0,[],54.339
flight_easy_01,llama-3.3-70b-instruct,1,easy,flight,13,16,True,10.0,,0,[],70.546
flight_easy_02,llama-3.3-70b-instruct,1,easy,flight,13,17,True,,,0,[],49.527
flight_easy_03,llama-3.3-70b-instruct,1,easy,flight,13,17,True,11.0,,0,[],65.161
flight_easy_04,llama-3.3-70b-instruct,1,easy,flight,13,16,True,10.0,,0,[],59.69
medium_01,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,6.0,,0,[],68.285
medium_02,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,,0,[],63.485
medium_03,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,6.0,,0,[],73.341
medium_04,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,7.0,,0,[],78.874
medium_05,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,6.0,,0,[],59.066
medium_06,llama-3.3-70b-instruct,1,medium,restaurant,13,17,True,6.0,,0,[],74.548
flight_medium_01,llama-3.3-70b-instruct,1,medium,flight,13,16,True,11.0,,0,[],77.982
flight_medium_02,llama-3.3-70b-instruct,1,medium,flight,13,16,True,12.0,,0,[],71.165
flight_medium_03,llama-3.3-70b-instruct,1,medium,flight,13,16,True,11.0,,0,[],107.444
flight_medium_04,llama-3.3-70b-instruct,1,medium,flight,13,16,True,,,0,[],97.35
hard_01,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,7.0,,0,[],56.635
hard_02,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,8.0,,0,[],71.904
hard_03,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,7.0,,0,[],49.355
hard_04,llama-3.3-70b-instruct,1,hard,restaurant,13,16,True,8.0,,0,[],46.741
hard_05,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,10.0,10.0,2,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT""]",48.197
hard_06,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,6.0,,0,[],69.056
flight_hard_01,llama-3.3-70b-instruct,1,hard,flight,13,16,True,11.0,,0,[],73.625
flight_hard_02,llama-3.3-70b-instruct,1,hard,flight,13,22,True,12.0,22.0,1,"[""CONFIDENT_CONFAB""]",277.759
flight_hard_03,llama-3.3-70b-instruct,1,hard,flight,13,16,True,11.0,,0,[],50.234
flight_hard_04,llama-3.3-70b-instruct,1,hard,flight,13,16,True,11.0,,0,[],109.296
conflict_01,llama-3.3-70b-instruct,1,conflicting,restaurant,13,16,True,7.0,,0,[],102.862
conflict_02,llama-3.3-70b-instruct,1,conflicting,restaurant,13,16,True,7.0,,0,[],79.903
conflict_03,llama-3.3-70b-instruct,1,conflicting,restaurant,13,17,True,6.0,,0,[],101.876
conflict_04,llama-3.3-70b-instruct,1,conflicting,restaurant,13,16,True,7.0,,0,[],81.506
flight_conflict_01,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,11.0,,0,[],64.211
flight_conflict_02,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,12.0,,0,[],47.531
flight_conflict_03,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,12.0,,0,[],45.112
flight_conflict_04,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,10.0,,0,[],54.614
adversarial_01,llama-3.3-70b-instruct,1,adversarial,restaurant,13,19,True,7.0,,0,[],51.524
adversarial_02,llama-3.3-70b-instruct,1,adversarial,restaurant,13,19,True,7.0,,0,[],45.435
adversarial_03,llama-3.3-70b-instruct,1,adversarial,restaurant,13,17,True,7.0,,0,[],40.962
adversarial_04,llama-3.3-70b-instruct,1,adversarial,restaurant,13,19,True,6.0,,0,[],75.426
flight_adversarial_01,llama-3.3-70b-instruct,1,adversarial,flight,13,19,True,9.0,,0,[],111.012
flight_adversarial_02,llama-3.3-70b-instruct,1,adversarial,flight,13,20,True,10.0,,0,[],85.409
flight_adversarial_03,llama-3.3-70b-instruct,1,adversarial,flight,13,19,True,,10.0,3,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""PARAM_DRIFT""]",96.362
flight_adversarial_04,llama-3.3-70b-instruct,1,adversarial,flight,13,20,True,10.0,,0,[],114.649
