scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,gemini-3.5-flash,1,easy,restaurant,13,16,True,6.0,9,4,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",22.096
easy_01,gemini-3.5-flash,2,easy,restaurant,13,16,True,6.0,14,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",21.776
easy_01,gemini-3.5-flash,3,easy,restaurant,13,16,True,7.0,14,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",22.319
easy_02,gemini-3.5-flash,1,easy,restaurant,13,16,True,6.0,6,3,"[""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",20.896
easy_02,gemini-3.5-flash,2,easy,restaurant,13,16,True,6.0,6,3,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",23.641
easy_02,gemini-3.5-flash,3,easy,restaurant,13,16,True,6.0,6,3,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",23.538
easy_03,gemini-3.5-flash,1,easy,restaurant,13,16,True,7.0,7,4,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",25.14
easy_03,gemini-3.5-flash,2,easy,restaurant,13,16,True,6.0,6,4,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",26.48
easy_03,gemini-3.5-flash,3,easy,restaurant,13,16,True,6.0,6,4,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",22.743
easy_04,gemini-3.5-flash,1,easy,restaurant,13,16,True,8.0,14,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",27.566
easy_04,gemini-3.5-flash,2,easy,restaurant,13,16,True,6.0,14,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",26.917
easy_04,gemini-3.5-flash,3,easy,restaurant,13,16,True,7.0,14,3,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",24.904
easy_05,gemini-3.5-flash,1,easy,restaurant,13,16,True,8.0,14,3,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",24.897
