scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,5.0,14.0,2,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",230.632
easy_01,llama-3.3-70b-instruct,2,easy,restaurant,13,16,True,6.0,11.0,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",22.317
easy_01,llama-3.3-70b-instruct,3,easy,restaurant,13,16,True,6.0,11.0,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",31.116
easy_02,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,7.0,4,"[""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",42.659
easy_02,llama-3.3-70b-instruct,2,easy,restaurant,13,16,True,6.0,6.0,3,"[""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",31.108
easy_02,llama-3.3-70b-instruct,3,easy,restaurant,13,16,True,6.0,6.0,3,"[""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",33.24
easy_03,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,7.0,7.0,4,"[""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",27.358
easy_03,llama-3.3-70b-instruct,2,easy,restaurant,13,16,True,9.0,14.0,3,"[""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",19.196
easy_03,llama-3.3-70b-instruct,3,easy,restaurant,13,16,True,8.0,8.0,4,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",38.193
easy_04,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,14.0,3,"[""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",39.005
easy_04,llama-3.3-70b-instruct,2,easy,restaurant,13,16,True,6.0,14.0,3,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",21.419
easy_04,llama-3.3-70b-instruct,3,easy,restaurant,13,16,True,6.0,14.0,3,"[""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",33.867
easy_05,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,15.0,1,"[""CONSTRAINT_IGNORE""]",32.868
easy_05,llama-3.3-70b-instruct,2,easy,restaurant,13,16,True,7.0,,0,[],36.077
easy_05,llama-3.3-70b-instruct,3,easy,restaurant,13,16,True,7.0,15.0,2,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",26.655
easy_06,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,9.0,4,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",17.377
