scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,gemini-3.5-flash,1,easy,restaurant,13,16,True,9.0,14.0,3,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",28.129
easy_02,gemini-3.5-flash,1,easy,restaurant,13,16,True,6.0,6.0,4,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",24.322
easy_03,gemini-3.5-flash,1,easy,restaurant,13,16,True,6.0,6.0,4,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",26.227
easy_04,gemini-3.5-flash,1,easy,restaurant,13,16,True,9.0,15.0,2,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",28.647
easy_05,gemini-3.5-flash,1,easy,restaurant,13,16,True,10.0,14.0,3,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",22.129
easy_06,gemini-3.5-flash,1,easy,restaurant,13,22,False,,,0,[],35.679
flight_easy_01,gemini-3.5-flash,1,easy,flight,13,16,True,10.0,9.0,4,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",22.456
flight_easy_02,gemini-3.5-flash,1,easy,flight,13,17,True,11.0,10.0,4,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",23.938
flight_easy_03,gemini-3.5-flash,1,easy,flight,13,17,True,11.0,14.0,4,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",22.617
flight_easy_04,gemini-3.5-flash,1,easy,flight,13,16,True,11.0,9.0,5,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",24.06
medium_01,gemini-3.5-flash,1,medium,restaurant,13,17,True,7.0,7.0,5,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",24.657
medium_02,gemini-3.5-flash,1,medium,restaurant,13,17,True,6.0,14.0,4,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE""]",29.73
medium_03,gemini-3.5-flash,1,medium,restaurant,13,16,True,7.0,7.0,5,"[""PREMATURE_COMMIT"", ""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",28.678
medium_04,gemini-3.5-flash,1,medium,restaurant,13,17,True,6.0,10.0,4,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",30.587
medium_05,gemini-3.5-flash,1,medium,restaurant,13,16,True,7.0,15.0,2,"[""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",31.416
medium_06,gemini-3.5-flash,1,medium,restaurant,13,17,True,6.0,14.0,4,"[""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",32.214
flight_medium_01,gemini-3.5-flash,1,medium,flight,13,16,True,11.0,9.0,5,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",26.864
flight_medium_02,gemini-3.5-flash,1,medium,flight,13,16,True,,9.0,3,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",24.598
flight_medium_03,gemini-3.5-flash,1,medium,flight,13,17,True,11.0,9.0,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",29.356
