scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
medium_01,gemini-3.5-flash,1,medium,restaurant,13,17,True,6.0,,0,[],23.98
medium_01,gemini-3.5-flash,2,medium,restaurant,13,17,True,7.0,,0,[],27.236
medium_01,gemini-3.5-flash,3,medium,restaurant,13,17,True,7.0,,0,[],26.276
medium_02,gemini-3.5-flash,1,medium,restaurant,13,17,True,7.0,,0,[],26.475
medium_02,gemini-3.5-flash,2,medium,restaurant,13,17,True,7.0,,0,[],30.27
medium_02,gemini-3.5-flash,3,medium,restaurant,13,17,True,6.0,,0,[],29.377
medium_03,gemini-3.5-flash,1,medium,restaurant,13,16,True,6.0,,0,[],23.567
medium_03,gemini-3.5-flash,2,medium,restaurant,13,16,True,7.0,,0,[],30.211
medium_03,gemini-3.5-flash,3,medium,restaurant,13,16,True,6.0,,0,[],23.374
medium_04,gemini-3.5-flash,1,medium,restaurant,13,17,True,6.0,,0,[],28.413
medium_04,gemini-3.5-flash,2,medium,restaurant,13,17,True,7.0,,0,[],29.612
medium_04,gemini-3.5-flash,3,medium,restaurant,13,17,True,6.0,,0,[],27.736
medium_05,gemini-3.5-flash,1,medium,restaurant,13,16,True,8.0,,0,[],24.923
medium_05,gemini-3.5-flash,2,medium,restaurant,13,16,True,8.0,,0,[],23.774
medium_05,gemini-3.5-flash,3,medium,restaurant,13,16,True,8.0,,0,[],24.781
medium_06,gemini-3.5-flash,1,medium,restaurant,13,17,True,7.0,,0,[],31.876
medium_06,gemini-3.5-flash,2,medium,restaurant,13,17,True,6.0,,0,[],26.894
medium_06,gemini-3.5-flash,3,medium,restaurant,13,17,True,7.0,,0,[],27.762
flight_medium_01,gemini-3.5-flash,1,medium,flight,13,16,True,11.0,,0,[],26.746
flight_medium_01,gemini-3.5-flash,2,medium,flight,13,16,True,12.0,,0,[],23.435
flight_medium_01,gemini-3.5-flash,3,medium,flight,13,16,True,12.0,,0,[],25.057
flight_medium_02,gemini-3.5-flash,1,medium,flight,13,16,True,12.0,,0,[],23.17
flight_medium_02,gemini-3.5-flash,2,medium,flight,13,16,True,12.0,,0,[],25.135
flight_medium_02,gemini-3.5-flash,3,medium,flight,13,16,True,12.0,,0,[],23.734
flight_medium_03,gemini-3.5-flash,1,medium,flight,13,16,True,,,0,[],23.717
flight_medium_03,gemini-3.5-flash,2,medium,flight,13,17,True,11.0,,0,[],27.291
flight_medium_03,gemini-3.5-flash,3,medium,flight,13,17,True,,,0,[],29.19
flight_medium_04,gemini-3.5-flash,1,medium,flight,13,22,False,,,0,[],34.257
flight_medium_04,gemini-3.5-flash,2,medium,flight,13,22,False,,15.0,1,"[""MEMORY_COLLAPSE""]",39.397
flight_medium_04,gemini-3.5-flash,3,medium,flight,13,22,False,,,0,[],32.844
