scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,gemma-3-12b-it,1,easy,restaurant,13,19,True,7,,0,[],24.87
flight_easy_01,gemma-3-12b-it,1,easy,flight,13,18,True,11,,0,[],13.48
medium_03,gemma-3-12b-it,1,medium,restaurant,13,19,True,6,15.0,3,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",18.489
flight_medium_02,gemma-3-12b-it,1,medium,flight,13,18,True,10,,0,[],25.729
hard_01,gemma-3-12b-it,1,hard,restaurant,13,19,True,6,,0,[],17.89
flight_hard_03,gemma-3-12b-it,1,hard,flight,13,18,True,10,14.0,4,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",33.091
conflict_03,gemma-3-12b-it,1,conflicting,restaurant,13,18,True,6,,0,[],17.694
flight_conflict_02,gemma-3-12b-it,1,conflicting,flight,13,18,True,11,,0,[],25.423
adversarial_01,gemma-3-12b-it,1,adversarial,restaurant,13,22,True,6,15.0,6,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",29.133
flight_adversarial_01,gemma-3-12b-it,1,adversarial,flight,13,22,True,11,17.0,5,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",35.668
